ID,Username,Time,Geo,Language,Text,Hashtags,Public_metrics
0,2236327369,2022-04-28 09:03:15+00:00,,it,"@Patrizi65868507 @ChildOfKarn @Limbolimbo18 #Putin #Russi=#Ucraini sono cattivi #Donbass #crimea finti ribelli,in #Moldavia creano la #Transnistria perché anche #Moldavi sono cattivi,#Georgia fanno un'invasione perché cattivissimi,#Cecenia genocidio per sport,I paesi baltici  scappano in #Nato= la colpa è degli #USA 😂😂","{'Donbass', 'crimea', 'USA', 'Russi=#Ucraini', 'Nato=', 'Moldavi', 'Transnistria', 'Moldavia', 'Putin'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1,2151065568,2022-04-28 09:03:14+00:00,,und,...#greece #news #Πολεμος_στην_Ουκρανια #οικονομια #πολιτικη,"{'πολιτικη', 'οικονομια', 'news', 'Πολεμος_στην_Ουκρανια'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
2,192870646,2022-04-28 09:03:13+00:00,,en,"RT @beingrichard: Too late, @trussliz, #Russia's justified intervention in #Ukraine (see below) acted as catalyst to free the world from An…","{""Russia's"", 'Ukraine'}","{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
3,3084103906,2022-04-28 09:03:13+00:00,,en,RT @lesiavasylenko: Mayor of #Bucha says #russia soldiers had kill lists. Likely composed by local collaborators. Names on the lists includ…,"{'Bucha', 'russia'}","{'retweet_count': 1858, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
4,868040273649172481,2022-04-28 09:03:13+00:00,,it,"RT @Baeck7157: ⚡ #Polonia Il primo ministro🇵🇱ha annunciato che il paese è diventato indipendente dal #gas 🇷🇺

 ""Da oggi nn dipendiamo più d…","{'gas', 'Polonia'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
5,1513603223558537220,2022-04-28 09:03:11+00:00,,tr,"Sayın Bakan @MevlutCavusoglu Gayriresmi olarak Muhatap Olarak Amerika,Almanya,Fransa,Mısır,Rusya,İsrael Dışişleri bakanlara Antalya da yemek daveti yapabilirsin…#Deutschland #France #Russia #USA #Egypt #İsrael #Türkiye https://t.co/XFcklOh0W2","{'Egypt', 'France', 'USA', 'Türkiye', 'Russia', 'İsrael'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
6,1294195728,2022-04-28 09:03:10+00:00,,bn,"সবজি বিক্রেতার ছদ্মবেশে ধর্ষক, ৯ বছর পর ধরা
#somoytv #Somoynews #news #newsalert #newsupdates #Somoy #SomoyBangladesh

https://t.co/YaBC7gWgto","{'Somoy', 'somoytv', 'Somoynews', 'SomoyBangladesh', 'newsupdates', 'news', 'newsalert'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
7,192870646,2022-04-28 09:03:09+00:00,,en,"RT @beingrichard: Clear &amp; direct threat to #Russia from US, UK &amp; #NATO activity in #Ukraine gave #Russia right under international law to i…","{'NATO', 'Russia', 'Ukraine'}","{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
8,860044806101360640,2022-04-28 09:03:08+00:00,,en,"Gosloto 5/36 results: 18,22,6,17,24,4 #gosloto #russia #5x36 Analysis and Stats https://t.co/4h4uSMfLSt","{'5x36', 'gosloto', 'russia'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
9,192870646,2022-04-28 09:03:07+00:00,,en,"RT @beingrichard: And journos at #MI6's favourite outlet, The Guardian, should read the above, too - even this one, who rightly says West s…","{""MI6's""}","{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
