ID,Username,Time,Geo,Language,Text,Hashtags,Public_metrics
0,3092742532,2022-04-28 09:19:03+00:00,,en,"RT @JFC_Naples: Poland 🇵🇱 is part of new #NATO battlegroups.

These Polish soldiers are deployed to Romania 🇷🇴 as part of the NATO Response…",{'NATO'},"{'retweet_count': 80, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1,110372659,2022-04-28 09:19:03+00:00,,it,"RT @morr1970: gli #StatiUniti non stanno isolando la #Russia, ma l’Occidente (il 10% dell’umanità) dal resto del mondo (il 90% dell’umanità…","{'Russia,', 'StatiUniti'}","{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
2,1299306847212457984,2022-04-28 09:19:02+00:00,,bn,এবার কোকাকোলায় চোখ ইলন মাস্কের https://t.co/iMtgXceCxQ #NewsBangla24 #News #Update,"{'NewsBangla24', 'Update', 'News'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
3,117737514,2022-04-28 09:19:02+00:00,,de,"Consors Finanz Studie - Kreislaufwirtschaft: Konsum ja, aber bewusst nachhaltiger https://t.co/GieRT4Ebmf via @na_presseportal #ots #wirtschaft #news","{'news', 'wirtschaft', 'ots'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
4,1445134471909498886,2022-04-28 09:19:02+00:00,,ro,Alimente pentru Ucraina https://t.co/0ZAA87uaB6 #eminews #news #eminewsromania,"{'eminews', 'news', 'eminewsromania'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
5,1496854310986125325,2022-04-28 09:19:02+00:00,,en,Mobile satcom service provider Ovzon reports 57% increase in Q1 service revenue; Ovzon 3 to launch in Q4 https://t.co/YwhoLl1n3M #Broadband #Mobility #News #SatelliteOperators,"{'Broadband', 'SatelliteOperators', 'Mobility', 'News'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
6,32851301,2022-04-28 09:19:01+00:00,,en,RT @Nmhali: Very peculiar! Could #SudanCoup junta have made a deal with the #Ukrainians behind #Russia’s back? I agree that those flights w…,"{'Russia’s', 'Ukrainians', 'SudanCoup'}","{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
7,1509039599108165634,2022-04-28 09:19:01+00:00,,und,RT @Delaramho: @DesignofNFT https://t.co/rrkkPP1x6w #nfts #NFT #NFTS #nftcommmunity #ETH #eth #Ethereum #rarible #photo #photography #photo…,"{'ETH', 'photo', 'photography', 'nftcommmunity', 'rarible', 'nfts', 'photo…', 'NFTS', 'Ethereum', 'eth', 'NFT'}","{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
8,1136847555591991297,2022-04-28 09:19:00+00:00,,en,"🇺🇦❗Fuel crisis in #Odessa

 In the city controlled by #Kyiv, there is an acute shortage of gasoline.  Odessans massively share photos of closed gas stations https://t.co/XEXdrQS1wv","{'Kyiv,', 'Odessa'}","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}"
9,1185068837135192064,2022-04-28 09:19:00+00:00,,ko,"RT @fantagiomusic_: [#아스트로] 아스트로, 타이틀곡은 '캔디 슈가 팝'…자작곡 포함 높은 참여도
▶ https://t.co/qN0Tgr5SPH

#NEWS #ASTRO
#Drive_to_the_Starry_Road
#CandySug…","{'NEWS', 'ASTRO', 'Drive_to_the_Starry_Road', 'CandySug…'}","{'retweet_count': 2740, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
10,220783157,2022-04-28 09:18:58+00:00,,fi,"Lukusuositus. Perusteellista pohdintaa, miten Suomen kannattaa luovia eteenpäin, voimapolitiikan korvatessa kansainvälistä sääntöpohjaista järjestelmää. #Turpo #Nato https://t.co/hmFgeqkfU8","{'Turpo', 'Nato'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
11,274611556,2022-04-28 09:18:58+00:00,,en,"Xbox Controller

#xbox #xbox360 #shorts #xboxone #fbgaming #fb #yt #youtube #nintendo #mememaster #gameboy #playstation #playstation4 #playstation3 #playstationgames #ps4 #pubgmobile #pubg #fortnite #ps5 #asmr #nostalgic #nostalgia #console #handheld #psp #psvita #Russia https://t.co/tFFzLTabiW","{'psvita', 'nintendo', 'pubg', 'Russia', 'yt', 'xbox360', 'playstationgames', 'playstation4', 'xbox', 'nostalgia', 'handheld', 'pubgmobile', 'fb', 'gameboy', 'ps5', 'playstation3', 'nostalgic', 'mememaster', 'shorts', 'youtube', 'ps4', 'console', 'asmr', 'fortnite', 'playstation', 'psp', 'xboxone', 'fbgaming'}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
